DATE,L2_REGISTRATIONS,WEB3ID_MINTERS
2022-10-24,539,
2022-10-31,20672,
2022-11-07,28876,
2022-11-14,31521,
2022-11-21,34705,
2022-11-28,39110,
2022-12-05,41159,
2022-12-12,42203,
2022-12-19,43229,
2022-12-26,44208,
2023-01-02,44936,
2023-01-09,45310,
2023-01-16,45657,
2023-01-23,45958,
2023-01-30,46276,
2023-02-06,46653,
2023-02-13,46939,
2023-02-20,47380,
2023-02-27,47784,
2023-03-06,48112,
2023-03-13,48380,
2023-03-20,48895,
2023-03-27,50845,
2023-04-03,51649,
2023-04-10,52317,
2023-04-17,52862,
2023-04-24,53177,
2023-05-01,53854,
2023-05-08,54070,
2023-05-15,54409,
2023-05-22,54824,
2023-05-29,56322,
2023-06-02,58116,23000
2023-06-09,69334,
2023-06-16,75824,
2023-06-23,87330,
2023-06-30,104738,
2023-07-01,106024,
2023-07-02,107307,25000
2023-07-09,114977,
2023-07-16,126114,
2023-07-23,141826,
2023-07-27,165175,29500
2023-08-03,187732,
2023-08-06,196115,32500
2023-08-13,218884,35000
2023-08-20,234723,37700
2023-08-27,245133,39000
2023-09-02,250159,39750
2023-09-10,255539,40600
2023-09-17,259327,41045
2023-09-24,265032,41501
2023-10-01,267819,41817
2023-10-08,271499,42110
2023-10-15,274182,42376
2023-10-22,279303,
2023-10-29,281531,43244
2023-11-05,284974,43774
2023-11-12,288020,44272
2023-11-19,290138,44653
2023-11-26,292396,45083
2023-12-03,294587,45426
2023-12-10,296627,45921
2023-12-17,299071,46354
