DATE,NUMBER_OF_OFFICIAL_ACCOUNTS
2023-02-09,3
2023-02-22,4
2023-02-24,5
2023-02-28,6
2023-03-06,8
2023-03-14,9
2023-03-17,10
2023-03-22,11
2023-03-23,12
2023-03-26,13
2023-03-27,15
2023-03-29,16
2023-04-14,18
2023-04-17,19
2023-04-27,20
2023-04-29,21
2023-05-06,22
2023-05-08,23
2023-05-13,24
2023-05-18,25
2023-05-21,26
2023-05-23,28
2023-05-25,29
2023-05-26,32
2023-05-27,33
2023-05-29,35
2023-05-30,36
2023-05-31,38
2023-06-02,40
2023-06-03,41
2023-06-04,42
2023-06-06,44
2023-06-08,45
2023-06-09,46
2023-06-15,47
2023-06-18,48
2023-06-19,50
2023-06-20,51
2023-06-23,53
2023-06-24,54
2023-06-26,55
2023-06-27,57
2023-06-28,59
2023-06-30,60
2023-07-02,61
2023-07-05,62
2023-07-06,64
2023-07-07,65
2023-07-10,66
2023-07-12,67
2023-07-13,68
2023-07-16,69
2023-07-17,71
2023-07-18,73
2023-07-20,75
2023-07-22,76
2023-07-23,78
2023-07-24,81
2023-07-25,85
2023-07-26,86
2023-07-27,90
2023-07-30,94
2023-07-31,96
2023-08-01,97
2023-08-02,104
2023-08-03,107
2023-08-04,108
2023-08-05,109
2023-08-06,110
2023-08-09,116
2023-08-10,118
2023-08-11,120
2023-08-12,121
2023-08-13,123
2023-08-14,125
2023-08-15,126
2023-08-16,129
2023-08-17,131
2023-08-18,134
2023-08-19,135
2023-08-21,140
2023-08-22,141
2023-08-23,144
2023-08-24,145
2023-08-25,146
2023-08-26,147
2023-08-27,148
2023-08-28,150
2023-08-29,153
2023-08-30,154
2023-08-31,157
2023-09-01,159
2023-09-04,160
2023-09-05,163
2023-09-06,165
2023-09-07,168
2023-09-08,172
2023-09-11,176
2023-09-13,179
2023-09-15,180
2023-09-16,181
2023-09-17,182
2023-09-18,183
2023-09-19,184
2023-09-20,187
2023-09-21,189
2023-09-22,190
2023-09-23,191
2023-09-25,193
2023-09-27,196
2023-09-28,197
2023-10-02,200
2023-10-03,201
2023-10-04,203
2023-10-06,204
2023-10-07,205
2023-10-08,206
2023-10-10,209
2023-10-11,213
2023-10-13,214
2023-10-14,215
2023-10-15,216
2023-10-16,219
2023-10-17,223
2023-10-18,227
2023-10-19,231
2023-10-20,233
2023-10-22,234
2023-10-23,236
2023-10-24,241
2023-10-25,246
2023-10-26,254
2023-10-27,256
2023-10-28,258
2023-10-30,263
2023-10-31,266
2023-11-01,267
2023-11-03,268
2023-11-06,270
2023-11-07,273
2023-11-08,275
2023-11-10,280
2023-11-11,281
2023-11-13,283
2023-11-14,284
2023-11-15,285
2023-11-16,291
2023-11-17,295
2023-11-18,296
2023-11-21,298
2023-11-22,300
2023-11-27,302
2023-11-28,303
2023-11-29,306
2023-11-30,308
2023-12-04,309
2023-12-05,310
2023-12-06,312
2023-12-07,313
2023-12-09,314
2023-12-12,315
2023-12-13,317
2023-12-14,319
2023-12-15,320
2023-12-20,321
2023-12-21,322
2023-12-23,323
2023-12-24,324
2023-12-26,325
2023-12-28,328
2023-12-29,329
